0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:15 +0530] "GET /resources/images/Shirt_image.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:15 +0530] "GET /resources/images/banner1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:15 +0530] "GET /resources/images/profile.svg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /Ecommerce-website/view/product/home.jsp HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/images/profile.svg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/images/cart.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/images/banner1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/images/Shirt_image.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/images/avatar.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:51:49 +0530] "GET /resources/js/home.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /Ecommerce-website/view/product/home.jsp HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /Ecommerce-website/css/home.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/images/cart.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/images/banner1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/images/profile.svg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/images/Shirt_image.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/images/avatar.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:56:46 +0530] "GET /resources/js/home.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:57:26 +0530] "GET /Ecommerce-website/view/product/home.jsp HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:57:26 +0530] "GET /Ecommerce-website/css/home.css HTTP/1.1" 404 790
